"iso","country_name","SDI_category","appears_on_graph","var","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"afg","Afghanistan","Low SDI",TRUE,"PM-equivalent emissions",319.605769491831,310.773802234501,233.95147144568,237.781113201689,243.421146970002,246.127556945661,246.167480663437,235.26571515091,229.213883355202,211.162836737974,207.754695922051,187.290255171849,191.186852982154,196.385256818377,202.351571519867,213.577619518264,227.178984607869,236.799990808604,263.783762052618,351.679490485204,404.632809536799,536.110360592722,492.950319388517,457.293073116914,444.954074804495,515.503119839552,564.808275337777,607.798565490865,778.121364392989,800.954690212584
"afg","Afghanistan","Low SDI",TRUE,"Fossil/industrial fraction",0.852443525049004,0.843231979561107,0.783841273570607,0.776924942018104,0.773014273003423,0.767369255148387,0.727266543243687,0.708890341598085,0.695692718124677,0.661062627504223,0.648628356450964,0.601195822054112,0.598830165127637,0.601020106982826,0.605445999067269,0.619941501406525,0.638206139295737,0.648611713551057,0.681296040357298,0.758531835251954,0.787387330928824,0.847127844166938,0.832921810355067,0.817542937800817,0.808587642125352,0.833709525546541,0.849000135509965,0.856960290587004,0.888335552400067,0.891581743867999
"afg","Afghanistan","Low SDI",TRUE,"Air pollution DALYs",1986290.42268778,2069430.0028501,2298508.31047419,2555748.2984094,2707119.9208449,2765668.96424765,2829916.18980341,2895755.64924714,2873933.38594352,2813758.31995774,2746471.41989596,2723137.49509482,2664666.12221737,2760981.11320299,2741087.66918597,2654066.25324791,2547192.15482219,2431802.48208636,2318931.14824871,2221855.98013467,2172677.1698411,2123152.62506203,2079878.29665309,2071024.75793066,2031096.89451219,1985141.87202475,1950167.76990019,1909456.50011819,1867562.40616369,1849170.03537269
"afg","Afghanistan","Low SDI",TRUE,"Air pollution deaths",37231.2121581541,38314.7424522227,41172.3586798102,44487.5850555584,46633.8379933019,47566.3926086705,48616.9204125389,49702.9238336656,49745.6680164049,49348.8577993748,48762.563099383,48659.8257062639,47732.4396219456,48686.8825960744,48336.7963166604,47107.3005640364,45691.067438468,44161.2547195131,42696.2864657008,41348.3063962857,40544.5419058268,39893.3256748043,39363.2088675845,39187.1389720079,38711.0178354381,38227.17006921,37865.0920818675,37535.0521607552,37160.4913883992,37033.0600177789
"afg","Afghanistan","Low SDI",TRUE,"All cause DALYs",11703362.7733181,12566633.4691594,13984422.8720363,15433605.9332474,16674639.7462698,17100682.6852473,17405520.6132618,18002188.3298392,18877101.0326635,17723556.3033823,17576211.0586611,17664347.1714185,17676904.3425742,17316162.7572281,17157102.0134093,17066462.0658374,16917409.9676377,16751512.9009876,16546041.853949,16300071.405892,16268986.2696905,16260181.6110969,16392267.1862742,16421008.4254128,16817622.0519604,17191130.5171618,17544635.5905635,17078387.36645,17269398.5907453,17117359.0991652
"afg","Afghanistan","Low SDI",TRUE,"All cause deaths",182084.658227741,192675.916256678,208236.090109285,225113.280980524,241639.251943376,246478.00130863,250304.070872045,258651.537322318,272457.992877698,256953.795524216,256151.585625444,257836.579613501,256846.283014162,250921.308415041,248386.971139956,246860.663517618,245261.88391727,243044.106763284,239852.098182747,236035.702375583,234969.708988197,234414.884515159,235953.202274172,235948.558685063,241864.281949022,247444.004096917,252548.649134843,245988.707822327,254327.818272713,251417.750400907
"alb","Albania","Middle SDI",FALSE,"PM-equivalent emissions",143.216768091441,90.611727826879,57.8549993612333,56.748387749849,59.0141137394197,58.3726834726948,53.5640056085844,46.0494487528827,51.3396498650453,71.4001261083066,73.0583469610502,74.0228941652272,82.286204710308,79.4446803047501,78.2179281193718,71.7075469818485,71.0369656046862,64.5323433431249,61.6429014414296,58.0771864386133,58.0304840114851,58.9579658641365,55.2526613513944,54.9210154595597,57.2613422689619,56.6872643146178,55.5546705553393,57.8114946980454,57.0488705027993,57.3299357197388
"alb","Albania","Middle SDI",FALSE,"Fossil/industrial fraction",0.896738817246485,0.847449692897127,0.781193821021204,0.787531729715713,0.801685737289282,0.79426081703774,0.781251212755162,0.756179055596102,0.786363894283227,0.813465795299748,0.821702253236707,0.829751795449764,0.855099034055232,0.83973903569553,0.866623581223941,0.865650090611846,0.861094702072778,0.84406478266807,0.838436918814678,0.828029208075684,0.831525980409722,0.837108135233655,0.82878197297299,0.831618988624553,0.844073627623271,0.838417388773281,0.851447560598893,0.86624447304407,0.865648931598931,0.867486795352765
"alb","Albania","Middle SDI",FALSE,"Air pollution DALYs",106419.592430087,109383.61855996,105521.217929981,100536.801718676,93772.5002142419,90380.1560595036,87204.9114057024,84638.5575636116,81903.0382764568,76783.5202198104,71706.7894725043,66473.9279937328,65432.8090662446,65841.3426454193,63775.2618122868,60775.8767205668,56363.3832225267,52747.8378605859,52212.8367320449,50503.6963022395,49399.916928011,49465.6785269892,48985.7808268007,48691.9654640439,48867.7982322424,49041.9681226769,48716.5248127571,48444.000266942,48262.5161412528,48185.2000303797
"alb","Albania","Middle SDI",FALSE,"Air pollution deaths",2964.74656124962,3037.91626572106,2928.15141883227,2800.32628527565,2632.2193724788,2659.73403282104,2684.94366195432,2685.71621266439,2661.34618187023,2611.0302211787,2536.66492718847,2416.06975598528,2480.89223039448,2595.11949197024,2563.43608254737,2474.15611359375,2314.53277995294,2191.79585675824,2199.26430388824,2149.52973031054,2130.47505659647,2157.03735057385,2161.33389036593,2175.84308071232,2214.38667755471,2248.23263460071,2253.19981760756,2259.82580679663,2267.95293272243,2276.26644132487
