Location ID,Location Name,2017 SDI Index Value,SDI Quintile
24,Marshall Islands,0.550457832,Low-middle SDI
376,Northern Mariana Islands,0.75781722,High-middle SDI
26,Papua New Guinea,0.418998443,Low SDI
27,Samoa,0.576375166,Low-middle SDI
28,Solomon Islands,0.425018528,Low SDI
29,Tonga,0.624951156,Middle SDI
30,Vanuatu,0.475309121,Low-middle SDI
9,Southeast Asia,0.640717246,
10,Cambodia,0.481619391,Low-middle SDI
11,Indonesia,0.647611359,Middle SDI
4709,Aceh,0.640414411,Middle SDI
4726,Bali,0.646777358,Middle SDI
4717,Bangka-Belitung Islands,0.637063919,Middle SDI
4725,Banten,0.636136405,Middle SDI
4715,Bengkulu,0.605588458,Low-middle SDI
4737,Gorontalo,0.556881893,Low-middle SDI
4720,Jakarta,0.795041917,High-middle SDI
4713,Jambi,0.640546524,Middle SDI
4721,West Java,0.635672599,Middle SDI
4722,Central Java,0.606724047,Middle SDI
4724,East Java,0.64169154,Middle SDI
4729,West Kalimantan,0.589201584,Low-middle SDI
4731,South Kalimantan,0.623798672,Middle SDI
4730,Central Kalimantan,0.641894718,Middle SDI
4732,East Kalimantan,0.746595227,High-middle SDI
4719,North Kalimantan,0.755952734,High-middle SDI
4718,Riau Islands,0.727599596,High-middle SDI
4716,Lampung,0.616299987,Middle SDI
4739,Maluku,0.555610326,Low-middle SDI
4740,North Maluku,0.546157963,Low-middle SDI
4727,West Nusa Tenggara,0.556566054,Low-middle SDI
4728,East Nusa Tenggara,0.518912804,Low-middle SDI
4742,Papua,0.587862719,Low-middle SDI
4741,West Papua,0.683007739,Middle SDI
4712,Riau,0.713955299,High-middle SDI
4738,West Sulawesi,0.559336878,Low-middle SDI
4735,South Sulawesi,0.610967812,Middle SDI
4734,Central Sulawesi,0.612199879,Middle SDI
4736,Southeast Sulawesi,0.596388581,Low-middle SDI
4733,North Sulawesi,0.651649236,Middle SDI
4711,West Sumatra,0.640858055,Middle SDI
4714,South Sumatra,0.642344679,Middle SDI
4710,North Sumatra,0.653390877,Middle SDI
4723,Yogyakarta,0.65012062,Middle SDI
12,Laos,0.518788871,Low-middle SDI
13,Malaysia,0.759248836,High-middle SDI
14,Maldives,0.655286841,Middle SDI
183,Mauritius,0.720190502,High-middle SDI
15,Myanmar,0.555817824,Low-middle SDI
16,Philippines,0.617174396,Middle SDI
17,Sri Lanka,0.679706328,Middle SDI
186,Seychelles,0.692334035,Middle SDI
18,Thailand,0.684276785,Middle SDI
19,Timor-Leste,0.504842989,Low-middle SDI
20,Vietnam,0.606829222,Middle SDI
166,Sub-Saharan Africa,0.445980066,
167,Central Sub-Saharan Africa,0.45690943,
168,Angola,0.460535938,Low-middle SDI
169,Central African Republic,0.334449009,Low SDI
170,Congo,0.574129526,Low-middle SDI
171,Democratic Republic of the Congo,0.364453165,Low SDI
172,Equatorial Guinea,0.62522322,Middle SDI
173,Gabon,0.650559028,Middle SDI
174,Eastern Sub-Saharan Africa,0.387060963,
175,Burundi,0.309705632,Low SDI
176,Comoros,0.434289553,Low SDI
177,Djibouti,0.484750347,Low-middle SDI
178,Eritrea,0.408790995,Low SDI
179,Ethiopia,0.334181415,Low SDI
180,Kenya,0.499471993,Low-middle SDI
181,Madagascar,0.330760552,Low SDI
182,Malawi,0.349345085,Low SDI
184,Mozambique,0.340470577,Low SDI
185,Rwanda,0.40744149,Low SDI
187,Somalia,0.234806633,Low SDI
435,South Sudan,0.274705978,Low SDI
189,Tanzania,0.412207128,Low SDI
190,Uganda,0.387738241,Low SDI
191,Zambia,0.472213354,Low-middle SDI
192,Southern Sub-Saharan Africa,0.639979771,
193,Botswana,0.663238118,Middle SDI
194,Lesotho,0.493356884,Low-middle SDI
195,Namibia,0.615792035,Middle SDI
196,South Africa,0.676542582,Middle SDI
197,Swaziland,0.577699713,Low-middle SDI
198,Zimbabwe,0.463195841,Low-middle SDI
199,Western Sub-Saharan Africa,0.441032713,
200,Benin,0.373374857,Low SDI
201,Burkina Faso,0.283938202,Low SDI
202,Cameroon,0.482039386,Low-middle SDI
203,Cape Verde,0.549086441,Low-middle SDI
204,Chad,0.252901641,Low SDI
205,Cote d'Ivoire,0.412139874,Low SDI
206,The Gambia,0.404759628,Low SDI
207,Ghana,0.536972566,Low-middle SDI
208,Guinea,0.324710505,Low SDI
209,Guinea-Bissau,0.348986787,Low SDI
210,Liberia,0.328416338,Low SDI
211,Mali,0.266900909,Low SDI
212,Mauritania,0.470565798,Low-middle SDI
213,Niger,0.190617687,Low SDI
214,Nigeria,0.49339389,Low-middle SDI
215,Sao Tome and Principe,0.488258275,Low-middle SDI
216,Senegal,0.373026564,Low SDI
217,Sierra Leone,0.357159036,Low SDI
218,Togo,0.413313302,Low SDI
